FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
5,-0.00511035,0.713393,0.08573712000000001,-0.1820385,0.5230035,0.058727520000000005,-0.2579325,0.7881674999999999,-0.0240414,0.18459000000000003,0.5200775,0.08940912,0.293202,0.7514405,0.023192760000000003,-0.252378,1.06191,-0.07361646000000001,0.3315375,0.9776449999999999,-0.05468322,-0.0806169,-0.0015161999999999999,-0.03710964,0.08256255000000001,-0.0015389999999999998,-0.03802458,-0.1868265,-0.444125,-0.03510228,0.1619625,-0.44859,0.00767754,-0.24374700000000002,-0.8388405,0.0161313,0.2183265,-0.8702189999999999,0.02427396
6,-0.0044541,0.714419,0.0854301,-0.18193350000000003,0.523165,0.05830728,-0.257943,0.787987,-0.02435862,0.184758,0.5199444999999999,0.08931018,0.2934435,0.751564,0.023037719999999998,-0.2520315,1.061815,-0.07468746,0.33310200000000006,0.9772649999999999,-0.05548188,-0.08071245,-0.0015950499999999998,-0.03719124,0.082551,-0.00171475,-0.037992960000000006,-0.1867005,-0.4444005,-0.03489522,0.161973,-0.45010049999999996,0.00804882,-0.2436105,-0.8380424999999999,0.01626594,0.2193975,-0.871435,0.027181979999999998
7,-0.0046893,0.7167085,0.0847977,-0.182007,0.5261575,0.057439260000000006,-0.2584575,0.7903049999999999,-0.025938600000000003,0.18452700000000002,0.5223764999999999,0.08867064,0.2935065,0.7539484999999999,0.021773940000000002,-0.25285050000000003,1.0635249999999998,-0.07679375999999999,0.3330705,0.980305,-0.05798496,-0.08072505,0.0012825,-0.037177980000000006,0.08262660000000001,0.0008322,-0.03809598,-0.1863435,-0.4413795,-0.034483139999999995,0.16677150000000002,-0.468977,0.016530120000000002,-0.2424765,-0.8346414999999999,0.018183539999999998,0.2229675,-0.8769545,0.0239088
8,-0.00441105,0.7182855,0.08441214,-0.181944,0.5275825,0.056898660000000004,-0.2583525,0.791293,-0.02701266,0.1846215,0.5235354999999999,0.08838402000000001,0.29375850000000003,0.755288,0.0212313,-0.25287149999999997,1.064285,-0.0783462,0.333837,0.98078,-0.05883768,-0.08086365,0.00223535,-0.037173899999999996,0.08262030000000001,0.001919,-0.038056200000000005,-0.1862175,-0.44042,-0.034014960000000004,0.16640400000000002,-0.46465449999999997,0.01546728,-0.2423505,-0.8337675,0.01817232,0.22352400000000003,-0.8755295,0.024202559999999998
9,-0.004137,0.7198339999999999,0.0840072,-0.18184950000000003,0.529017,0.05637234,-0.2581635,0.792262,-0.02809488,0.184737,0.5247134999999999,0.08807393999999999,0.294021,0.7565799999999999,0.02052954,-0.2529135,1.0649499999999998,-0.0800853,0.33443550000000005,0.9812549999999999,-0.059768940000000007,-0.08107995,0.00322145,-0.037130039999999996,0.08261715,0.00295925,-0.03800316,-0.1860285,-0.439375,-0.03363042,0.166593,-0.4636475,0.0154785,-0.2421825,-0.8328745,0.01823352,0.22415400000000002,-0.874342,0.025100160000000003
10,-0.0039070500000000005,0.7213445,0.08356656,-0.1817235,0.5304325,0.05586234,-0.258006,0.7932214999999999,-0.02915262,0.18485250000000003,0.5259105,0.08772408,0.29426250000000004,0.7578435,0.01971354,-0.2529555,1.065615,-0.08204573999999999,0.3349185,0.981635,-0.06086442,-0.0812679,0.00422845,-0.037081079999999995,0.08262135000000001,0.0039596,-0.03796236,-0.185829,-0.438311,-0.03328872,0.16634100000000002,-0.46019899999999997,0.0144585,-0.24207750000000003,-0.8325705,0.018239639999999998,0.2247525,-0.8732875,0.02554182
11,-0.0036372,0.72276,0.08308716000000001,-0.18158700000000003,0.531924,0.0553707,-0.2578275,0.7941524999999999,-0.03032562,0.18498900000000001,0.527117,0.08736504,0.29454600000000003,0.7590595,0.018794520000000002,-0.253029,1.0662800000000001,-0.08399292,0.33524400000000004,0.982015,-0.0621588,-0.0814443,0.00525635,-0.03695766,0.0826413,0.004996049999999999,-0.0378777,-0.1856085,-0.43718049999999997,-0.0328593,0.16605750000000002,-0.456817,0.01343034,-0.24210900000000002,-0.8311265,0.01866906,0.22570800000000002,-0.8725559999999999,0.0248676
12,-0.00331695,0.724147,0.0825231,-0.1814715,0.5333395,0.0549015,-0.25767,0.795074,-0.03151188,0.1851255,0.528314,0.086955,0.2948505,0.760285,0.017818379999999998,-0.25307100000000005,1.0668499999999999,-0.08595438,0.335496,0.9826799999999999,-0.06362964,-0.08159655,0.0062927999999999994,-0.03684648,0.08267700000000001,0.00602965,-0.03778182,-0.18539850000000002,-0.435955,-0.03248496,0.1671495,-0.46032249999999997,0.01509804,-0.24202500000000002,-0.8295684999999999,0.019116840000000003,0.2264325,-0.8729169999999999,0.02491044
13,-0.0029694,0.7254864999999999,0.08193048000000001,-0.18135600000000002,0.5347074999999999,0.054476159999999996,-0.2575545,0.795986,-0.0327063,0.1852935,0.52953,0.08654802,0.29515500000000006,0.76152,0.016717799999999998,-0.2531235,1.0675149999999998,-0.08789136,0.335748,0.9832499999999998,-0.06528816,-0.0817404,0.007434699999999999,-0.03669552,0.08272215000000001,0.00710505,-0.037684920000000004,-0.185178,-0.43454899999999996,-0.03212694,0.16823100000000002,-0.46374249999999995,0.01676064,-0.241899,-0.8272695,0.0198696,0.226947,-0.87324,0.02476968
14,-0.0025809,0.7267594999999999,0.08124606000000001,-0.18124050000000003,0.536028,0.05409162,-0.2574285,0.7968505,-0.03384972,0.185472,0.5307839999999999,0.08614308,0.2954595,0.7627645,0.015561120000000001,-0.25318650000000004,1.068085,-0.0897804,0.3359265,0.983915,-0.06695688,-0.08186639999999999,0.0085804,-0.0365262,0.08276625000000001,0.0081833,-0.0375309,-0.1849785,-0.433181,-0.03174954,0.1681995,-0.4638945,0.01730226,-0.24167850000000002,-0.826367,0.02054688,0.22717800000000002,-0.873373,0.024211740000000002
