FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
69,-0.02629234790844518,0.7456,-0.01301535072371383,-0.16556722511428423,0.54091,-0.010988385184180948,-0.2643674070426158,0.75431,-0.03368263335257337,0.12322292986609351,0.52377,0.013124832921443171,0.21176977788748827,0.75079,0.010869569194953566,-0.3108350670684297,0.98851,-0.0441537374359723,0.25883866056638355,0.98825,0.0004243079076332798,-0.0752749616236399,0.04131,-0.04629264927134265,0.050488613721340204,0.044493,-0.043424459346056314,-0.1325072079786994,-0.32447,-0.060328155430857566,0.10824197468891195,-0.32642,-0.018644226035020698,-0.14473056914097526,-0.69436,-0.03742171959075872,0.12698545652392637,-0.67683,0.010329724846771105
70,-0.026712284576958324,0.74605,-0.012695411363149854,-0.16561197647552542,0.54178,-0.010792175307602164,-0.26348882924103056,0.75684,-0.03135165715223121,0.12256522005974016,0.52424,0.0123630496119472,0.21042502863985116,0.75145,0.0112975580510929,-0.30913171479030316,0.99067,-0.03982011596927717,0.25700804906910313,0.98927,0.0023984167055531858,-0.07562827990213511,0.0417,-0.04679970567262477,0.05009417324324815,0.044874,-0.044297212294629115,-0.13255714117523773,-0.32436,-0.06073602265911139,0.10788754541884427,-0.32603,-0.01922560447676005,-0.1447147671568076,-0.69432,-0.03751133709628283,0.1269848857107965,-0.6768,0.010390549793728505
71,-0.027224343736466792,0.74669,-0.012492242917855115,-0.16563234318090933,0.54279,-0.010619082276801372,-0.2627329636971672,0.75922,-0.029994788595737912,0.12203102040865905,0.52424,0.01164944556712625,0.20888629568684186,0.75174,0.011443578252857193,-0.30711562036037543,0.99332,-0.03766325731613955,0.25517935126942287,0.98981,0.0035554445174248786,-0.0759350051715255,0.042258,-0.047173648996027384,0.04977256347875951,0.045428,-0.045064719401687776,-0.13258650997582752,-0.32397,-0.06114534096257694,0.1075717141289926,-0.32529,-0.019680356712983953,-0.14456213397628417,-0.69405,-0.037570735010415496,0.12695633349867524,-0.67673,0.010437302025578793
72,-0.027731652505387866,0.74731,-0.012287221423919033,-0.16564541666283125,0.54365,-0.010487351171627093,-0.2620340770141428,0.76152,-0.028890653909981225,0.12129770151785961,0.52424,0.010798173340164339,0.2073904039651194,0.75176,0.011404221463325832,-0.30491903334669085,0.99575,-0.03601173362835537,0.2531078265416721,0.9901,0.004361981126833801,-0.0761887767432665,0.042739,-0.047496622662718806,0.04953856856536295,0.045889,-0.04563806256289626,-0.13257827281667037,-0.32354,-0.061479994737707336,0.10734466335887981,-0.32461,-0.019889968133930392,-0.1444038202744947,-0.69376,-0.0376047610566992,0.1269350246414191,-0.67671,0.010500562855500927
73,-0.02821897730844505,0.74791,-0.012091876763574101,-0.16567947574804093,0.54426,-0.01046695561537878,-0.26141605694566833,0.76299,-0.028191717435784268,0.12079195434170598,0.52424,0.010153558110889836,0.2058668781407609,0.75176,0.011348822343181336,-0.3025125591224497,0.99749,-0.03468672388949953,0.2503038493801872,0.9901,0.0047154455208982815,-0.07643473174277379,0.043121,-0.047846650001961574,0.04932658912312669,0.046266,-0.04619229240336789,-0.13254820585572408,-0.3231,-0.061880863766018895,0.10712902349989614,-0.32395,-0.020106706342877274,-0.14417778556723798,-0.69347,-0.03761973807627514,0.12699393945842216,-0.67667,0.010511966553913954
74,-0.028740591926202597,0.7485,-0.01186906924453211,-0.16571040916605265,0.54479,-0.010464286598684688,-0.2609870586963976,0.76423,-0.02791806528044342,0.12039686735567723,0.52412,0.00962999792001325,0.20420448721051163,0.75176,0.01121715080098317,-0.3002155518096538,0.99906,-0.0340654136570373,0.24747132179040401,0.9901,0.004712538096430519,-0.0766548059510926,0.043423,-0.04829162566740054,0.049115235171094625,0.046585,-0.046830692361826874,-0.13250424704056443,-0.32264,-0.06236051741457143,0.10692536536517148,-0.32334,-0.020391396286782,-0.14394138183791816,-0.69318,-0.03763593303733344,0.12706421531795747,-0.67663,0.010574113988024908
75,-0.02926921195661851,0.74907,-0.011618049597008098,-0.16578902013811594,0.54522,-0.010479163260651056,-0.2607709219352679,0.76531,-0.027876908258097664,0.12007183271240923,0.52381,0.009227440494698997,0.202685178811014,0.75176,0.01108024577106801,-0.2982317968902545,1.0005,-0.03368313049005371,0.24480854463974935,0.9901,0.004437980550638154,-0.07682390328998413,0.043643,-0.04873776700148627,0.048935571119575305,0.046841,-0.04744725771001931,-0.1324393765331009,-0.32217,-0.06284359175384172,0.10673879866284207,-0.32279,-0.020657841150838192,-0.14368823397255842,-0.69291,-0.037631913303037196,0.12714637316455796,-0.67654,0.010684050734574749
76,-0.029792151465768302,0.74962,-0.01134165808163512,-0.16581839072252863,0.54545,-0.010485357513734077,-0.2607709219352679,0.76606,-0.027876908258097664,0.11982310174629798,0.52304,0.008910432755838636,0.20129081962080692,0.75145,0.010925771020105408,-0.2973871196489737,1.0016,-0.033520990556470995,0.2427365043189343,0.99003,0.004038099432158514,-0.07699734423755604,0.043799,-0.04917655081808091,0.04876593600647988,0.047026,-0.048011283355185466,-0.13236448429992956,-0.32168,-0.06332591441908833,0.10659747844007691,-0.32231,-0.020892953027691778,-0.1434368225889754,-0.69263,-0.037618045491210825,0.12723542706966828,-0.67644,0.010812465694702464
77,-0.03028675987533271,0.75012,-0.011035900790326843,-0.16587661094682105,0.54553,-0.010500700443159153,-0.2607709219352679,0.76668,-0.027876908258097664,0.11965015351281047,0.52209,0.008681929126691199,0.19999568566720857,0.75098,0.010726851332199083,-0.29668014184493685,1.0026,-0.03338414617551466,0.24102762732949004,0.98979,0.0037093617936867287,-0.07716290912734255,0.043892,-0.049631208125588425,0.04859537797542182,0.047183,-0.04854703979055661,-0.13229202314124558,-0.32122,-0.0637944497757928,0.10646531170213124,-0.32186,-0.021122389191756626,-0.14314636619162713,-0.69236,-0.03759526213677176,0.12731810586080183,-0.67637,0.01091944801799327
78,-0.030754133751452,0.75058,-0.010671523705535244,-0.16596038149561748,0.5456,-0.010543903396233522,-0.2597240736980546,0.76398,-0.02770958292157192,0.1193705131710745,0.52141,0.00854021716786701,0.1988564343409124,0.75068,0.010507692906551225,-0.29572254341957566,0.999,-0.03392000180508824,0.24064459419488127,0.98965,0.003635730157878561,-0.07731150876855329,0.043984,-0.05014176874552698,0.04843473952863907,0.047322,-0.048983566180841584,-0.13219726110483632,-0.32077,-0.0642742842852391,0.10636425203037492,-0.32151,-0.021355479180268585,-0.14286523692727604,-0.69208,-0.03757716968736839,0.12739093657440526,-0.67631,0.011024693859507407
