FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
3,-0.03194875729284248,0.7803,0.07817176122131983,-0.18200325973219167,0.58303,0.011910411531780976,-0.2542194832345672,0.82618,-0.090946430627868,0.19097724685000103,0.56965,0.09458277578181853,0.31890249026175194,0.80646,0.059674424889169936,-0.2629124366402187,1.1019,-0.15900998446607992,0.415355058190338,1.0321,-0.0075145134041346845,-0.06778991718918422,0.00691,-0.05382126148171876,0.08796076657804246,0.000864,-0.029429879170719125,-0.10535640288799614,-0.55106,-0.05052859018914181,0.11790490285106874,-0.55025,0.03251596204451041,-0.09058646010100083,-0.92114,-0.07808749827834022,0.14469161254411167,-0.943,0.0006137592236919141
4,-0.032385512628795195,0.78021,0.07793634292016881,-0.18230023906548443,0.58279,0.01163668306121756,-0.2546439906736055,0.82601,-0.09141831454812924,0.1907186161539399,0.56968,0.09472502613526239,0.31713452123948116,0.80419,0.06014151646080319,-0.26311644028747583,1.1019,-0.15969582884486114,0.41433492773009845,1.0331,-0.008006125897966385,-0.06802834823573885,0.006693,-0.054219718049036796,0.08777087473412747,0.000877,-0.02944711540042766,-0.1054357066689472,-0.55129,-0.05094265167047866,0.11809224162473854,-0.55031,0.03208697581643322,-0.09006146201951315,-0.92262,-0.07772482347299214,0.14453180991970702,-0.94292,0.00077140477939645
5,-0.03308515936196657,0.78029,0.07761395270821655,-0.1832951923237852,0.5823,0.011405397493581618,-0.25534513835058553,0.82616,-0.0917033986323317,0.19045748047240746,0.56975,0.0947663075576047,0.31697060271123234,0.80585,0.05986180282849912,-0.2644175762324857,1.1013,-0.16014864807215085,0.4134622949160362,1.034,-0.008412835833696675,-0.06815100938403235,0.006982,-0.054410922763150536,0.08758058332102156,0.000859,-0.02942177416726599,-0.105498984948956,-0.55105,-0.051505185988790995,0.11808482462169576,-0.55033,0.03207145202611438,-0.0899883855305711,-0.92224,-0.07710268214920477,0.14420364069012645,-0.94193,0.002402194145549069
6,-0.03507976640055861,0.77882,0.07709165800060495,-0.18405783549804625,0.58188,0.01129630859060339,-0.2568694308948157,0.82634,-0.09227273881149041,0.18957083024072813,0.56972,0.09478462057655258,0.31648911284370934,0.80701,0.05994343313826633,-0.266271989085733,1.1,-0.1610341157280881,0.4124217737080257,1.0349,-0.008903982060069662,-0.06859880250854894,0.006487,-0.054871681178847595,0.08716110268259654,0.000815,-0.029570881490984673,-0.10552103648369679,-0.55156,-0.051783239454540976,0.11774946904113859,-0.55035,0.03201536606896666,-0.08946917747934699,-0.92404,-0.08004725733071127,0.14432710632827053,-0.94366,0.0012988717827748589
7,-0.035410571685331724,0.7778,0.07684852046017532,-0.18405143277403666,0.58034,0.010684119890017319,-0.2576321221538507,0.82583,-0.09272708124115281,0.18806295501092374,0.57015,0.09521633957236159,0.3154807628495183,0.80622,0.060018475054652784,-0.26655641766545984,1.0995,-0.1610334968301842,0.41107657742683945,1.0342,-0.008358282541027579,-0.06871197970533854,0.005945,-0.05518001853001812,0.08708068131777268,0.000764,-0.029690666315064642,-0.10573533702585601,-0.55182,-0.051949985601813596,0.117531222675667,-0.55036,0.032216524026697495,-0.08976157518432819,-0.9236,-0.07861933836167916,0.14415102707611627,-0.94268,0.002297466844329233
8,-0.03600424432493651,0.77767,0.07669103777228652,-0.1844879976321408,0.58032,0.01056855551545274,-0.25846655415264913,0.82583,-0.09294732483216324,0.1862909920805666,0.57015,0.09570608172231412,0.3145837435957759,0.80622,0.06003800601508302,-0.26716816414097416,1.0995,-0.161192135569765,0.40995769102210433,1.0342,-0.008347409947093681,-0.06895103864633606,0.005945,-0.055511567655683,0.0868236513027139,0.000764,-0.029701463136767296,-0.10582426536756265,-0.55182,-0.05242463889637849,0.11729601044120384,-0.55036,0.032053198570142626,-0.0897227278611277,-0.9236,-0.07878206477465553,0.14420857853390792,-0.94268,0.002086251717725914
9,-0.03651067345219154,0.77756,0.07655706188241183,-0.1848955392021876,0.5803,0.010461155009477204,-0.2592524403565077,0.82583,-0.09315494678327829,0.1844059120593873,0.57015,0.09631905342945138,0.3138080269395928,0.80622,0.06006064821727907,-0.26765188560859693,1.0995,-0.16132820004624907,0.4088121126666054,1.0342,-0.008242747482894303,-0.06922154954563957,0.005945,-0.055820230665060554,0.08650857711577907,0.000764,-0.029711325019313832,-0.1059507996690162,-0.55182,-0.052973956719278556,0.11705702781542894,-0.55036,0.03185366836045567,-0.08964230471248091,-0.9236,-0.0790654040009581,0.1440339178610307,-0.94268,0.0020402229294506843
10,-0.03691149501614491,0.77712,0.07645186172143298,-0.1852110249795068,0.57993,0.010407557208129803,-0.2599624939591456,0.82575,-0.09333193514837877,0.18237432641249987,0.57015,0.09689908425566748,0.3130448868631858,0.80611,0.06012714050090196,-0.26790446266082674,1.0992,-0.1613930447275027,0.40772666466535307,1.0342,-0.00813357497455297,-0.06950202268509915,0.005824,-0.0561184651668233,0.0861802389690738,0.000697,-0.02970930972327252,-0.10606770940971418,-0.55197,-0.05346268272895056,0.11678745906799765,-0.55042,0.03165483755195677,-0.08962803973570233,-0.92466,-0.07937665552374554,0.14391747741244593,-0.94355,0.002009537070600531
11,-0.03711868257532011,0.77508,0.07661333715400098,-0.18544529506209775,0.57795,0.010354063952453599,-0.26055839036571826,0.82417,-0.09323493786679948,0.18011988159415063,0.56894,0.09741849503820695,0.3122017448454711,0.80513,0.06058975863496511,-0.2680254696144507,1.0978,-0.16093713101069365,0.406592742996322,1.0333,-0.007519143816080764,-0.06978857351077712,0.004149,-0.05638223139723062,0.08587953011652713,-0.000984,-0.029725777449286492,-0.10618896035485384,-0.5537,-0.053926788544797266,0.11648137611848233,-0.55213,0.03131756284490627,-0.08957257205604269,-0.92618,-0.07957605295731272,0.14375745305508963,-0.94525,0.0018229139073739076
12,-0.03721829055144892,0.77305,0.07682119828815433,-0.18563345042423607,0.57601,0.010326979645214951,-0.26107537837246925,0.82261,-0.0930671630150615,0.17789081345212776,0.56776,0.0979667506521487,0.311347886509338,0.80452,0.06105556432601666,-0.26818410835403145,1.0964,-0.1603253845351793,0.4053983677190756,1.0325,-0.006734626322902421,-0.07007720811458708,0.002463,-0.056634179934601785,0.08558061963554751,-0.002672,-0.029723650394857914,-0.10630730914957005,-0.55543,-0.054349765568746815,0.11614830379044475,-0.55385,0.03101817709992894,-0.0895813524182969,-0.92764,-0.07981419557264792,0.14364972084159808,-0.94702,0.0015124903738326957
13,-0.03727520449784288,0.77113,0.07703455667844135,-0.1858158753965114,0.57418,0.010267396682126909,-0.261524645373753,0.82106,-0.09288033913661575,0.1754858192313871,0.5666,0.09853374165578468,0.31047554755538836,0.80383,0.06151100339924377,-0.26835780461647235,1.0951,-0.15968583030885125,0.40419131612485965,1.0315,-0.0058782178637541704,-0.07037568117897235,0.000816,-0.05681881424841279,0.08527122356564011,-0.004355,-0.029725403085889696,-0.10643052009326094,-0.55715,-0.054745167975612026,0.11584547028770821,-0.55557,0.030720061569269576,-0.08963974629076697,-0.92895,-0.07982855369431997,0.14359194943467773,-0.9489,0.0009763127311223328
14,-0.037322448823361776,0.76927,0.07721611100558963,-0.18584085490788552,0.57252,0.010178711711520218,-0.2617710966549905,0.81955,-0.09263439856254066,0.17357518888570383,0.56535,0.09911885333927264,0.3097101482688487,0.80304,0.06199342223403836,-0.26852569657806635,1.0939,-0.1589640184987289,0.40290671949003337,1.0305,-0.004869968149748258,-0.07063296596590878,-0.00083,-0.056995170531008776,0.08501587775952239,-0.006041,-0.02970544013775831,-0.10653611866002358,-0.55886,-0.05512527972588775,0.115540900303195,-0.5573,0.030431794116140325,-0.08973954234050564,-0.93013,-0.07972328381041886,0.14352787682476448,-0.95064,0.0005334586912187737
15,-0.03737102525298902,0.76746,0.07739946130006627,-0.1858556390453742,0.57085,0.01008979360718417,-0.2618976345240898,0.81806,-0.09237746828467565,0.17197684473915786,0.56405,0.09966053312401849,0.3089485193736208,0.80226,0.06251204582196503,-0.2685447017080618,1.0927,-0.15816518259252924,0.4017304517080384,1.0296,-0.0038426171361990308,-0.07091255403480916,-0.002503,-0.05717749033719712,0.08472478865925391,-0.007731,-0.02969584140321266,-0.10665382273062603,-0.56056,-0.055494325457150995,0.11524015057859047,-0.55903,0.030121860892444813,-0.08981552454751697,-0.93136,-0.07958030582533832,0.14317589910392528,-0.95128,0.0009171678050443957
