FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
2,-0.0020349,0.6101565,0.052301520000000004,-0.149436,0.428811,0.04440774,-0.22768200000000002,0.6653515,-0.0166566,0.14196,0.423548,0.02526744,0.23156700000000002,0.618659,-0.01231752,-0.27033300000000005,0.8771444999999999,-0.03800214,0.29276100000000005,0.8610134999999999,-0.04093974,-0.06350295,0.0016131,-0.03452394,0.0627081,-0.0026638,-0.033045960000000006,-0.128205,-0.414105,-0.06025956,0.1187445,-0.41962449999999996,-0.05283702,-0.16255050000000001,-0.836437,-0.1114962,0.1543185,-0.8416429999999999,-0.1060392
3,-0.00207585,0.610147,0.0520302,-0.1496145,0.42946650000000003,0.044805540000000005,-0.2282385,0.6658075,-0.016813679999999998,0.141351,0.4230445,0.023978160000000002,0.2316615,0.6187255,-0.012451140000000001,-0.2704695,0.877059,-0.0381276,0.29295000000000004,0.861042,-0.04132836,-0.0634977,0.0016216499999999999,-0.03510126,0.06270705,-0.0026885,-0.03287868,-0.1282365,-0.41444699999999995,-0.06029016,0.1188915,-0.41985249999999996,-0.05288802,-0.162645,-0.8367884999999999,-0.11134319999999999,0.15568350000000003,-0.8418614999999999,-0.10511100000000001
4,-0.002247,0.610185,0.05143044,-0.1499505,0.430027,0.04514112,-0.228669,0.6662444999999999,-0.01711356,0.14130900000000002,0.423054,0.0236232,0.2318295,0.6187349999999999,-0.0128214,-0.2707005,0.8770304999999999,-0.03826428,0.29312849999999996,0.8610325,-0.04204848,-0.06356175,0.0011048499999999999,-0.03503496,0.0628026,-0.0033401999999999998,-0.03328056,-0.128226,-0.414428,-0.06029832,0.11909100000000002,-0.42061249999999994,-0.05271054,-0.16271850000000002,-0.8368835,-0.10971120000000001,0.1563975,-0.8425455,-0.10535580000000001
5,-0.0022953,0.6101945,0.05097042,-0.1499505,0.42983699999999997,0.04470558,-0.228753,0.6660735,-0.017269620000000003,0.142212,0.42384249999999996,0.024686040000000003,0.2318715,0.618773,-0.0129795,-0.270879,0.876983,-0.03837648,0.293244,0.8610515,-0.042316740000000005,-0.06330135,0.0017594,-0.03502884,0.0627963,-0.0016852999999999998,-0.033656939999999996,-0.1281735,-0.41439,-0.06042174,0.1191855,-0.420793,-0.05292678,-0.1628025,-0.836855,-0.1095378,0.1499295,-0.8385079999999999,-0.1441362
6,-0.0022386000000000003,0.6102895,0.05057874,-0.14994000000000002,0.42962799999999995,0.04433328,-0.22890000000000002,0.665874,-0.01731552,0.1428105,0.4246025,0.0254541,0.231945,0.6186969999999999,-0.01314066,-0.271215,0.8771255,-0.0385203,0.29335950000000005,0.8609565,-0.0425697,-0.06307245,0.0018353999999999998,-0.03560412,0.0629811,-0.0014991,-0.03323466,-0.1281525,-0.414276,-0.060433980000000005,0.119301,-0.42142949999999996,-0.05299206,-0.1629075,-0.8367315,-0.1094664,0.1494885,-0.8397715,-0.1403928
7,-0.0019677,0.609482,0.0512244,-0.149877,0.428735,0.04462398,-0.2291205,0.6649999999999999,-0.0168147,0.1424325,0.422864,0.02440248,0.231987,0.6177185,-0.012802019999999999,-0.27159300000000003,0.876831,-0.0378471,0.2933805,0.8600159999999999,-0.041917920000000004,-0.06306825,0.00087875,-0.03567042,0.06280680000000001,-0.0029184,-0.033491700000000006,-0.1282365,-0.41507399999999994,-0.06058494,0.11916449999999999,-0.422655,-0.0532338,-0.16289700000000001,-0.837387,-0.1121388,0.1541505,-0.844056,-0.11158799999999999
8,-0.0018165,0.6088169999999999,0.05109996,-0.149919,0.4281935,0.04457196,-0.22916250000000002,0.6642115,-0.016786139999999998,0.142464,0.4220185,0.0241944,0.23210250000000002,0.6168065,-0.012934619999999999,-0.27185549999999997,0.8763274999999999,-0.03765228,0.29353799999999997,0.859085,-0.04212906,-0.0629937,0.00024605,-0.0358428,0.06280680000000001,-0.0034427999999999998,-0.033618180000000004,-0.12828900000000001,-0.4158245,-0.06078792,0.11913300000000002,-0.42362399999999995,-0.05345616,-0.16275,-0.838033,-0.11324039999999999,0.15424500000000002,-0.84493,-0.1117308
9,-0.0016506000000000001,0.6081615,0.05099898,-0.150003,0.4278515,0.04461174,-0.229194,0.6603829999999999,-0.01629858,0.142464,0.4211065,0.023873099999999998,0.2322285,0.6158755,-0.013075380000000001,-0.27212850000000005,0.8757099999999999,-0.03748092,0.29368500000000003,0.858154,-0.04236264,-0.06296115000000001,-0.0004161,-0.03590706,0.06278685,-0.00397385,-0.033917039999999996,-0.1283415,-0.41658449999999997,-0.0609909,0.11914350000000001,-0.424707,-0.05368974000000001,-0.1625715,-0.8386695,-0.1146786,0.1545915,-0.8460699999999999,-0.1107924
10,-0.0014847,0.6075155,0.05090922,-0.150045,0.4276425,0.04470048,-0.229194,0.655994,-0.01580184,0.14244300000000001,0.42019449999999997,0.023547719999999998,0.23234400000000002,0.6149445,-0.013219199999999999,-0.27241200000000004,0.8750924999999999,-0.03737178,0.293832,0.8572135,-0.0425799,-0.06296115000000001,-0.0011286,-0.03590706,0.06276375000000001,-0.0045961,-0.03422712,-0.128394,-0.4173255,-0.06118062,0.11916449999999999,-0.42585649999999997,-0.05395086,-0.162561,-0.8393345,-0.115158,0.1544025,-0.84721,-0.1123836
11,-0.0013104,0.6068790000000001,0.0507756,-0.1500975,0.4273575,0.0447474,-0.22932000000000002,0.6554335,-0.015906899999999998,0.14244300000000001,0.41929199999999994,0.02324886,0.2324805,0.6140134999999999,-0.01337934,-0.272664,0.8746364999999999,-0.03735546,0.29400000000000004,0.8562825,-0.04277064,-0.06296115000000001,-0.0018961999999999998,-0.0358989,0.06273015,-0.00526395,-0.03454434,-0.128436,-0.418057,-0.06136932,0.119196,-0.427006,-0.0541977,-0.1625925,-0.8399995,-0.115464,0.154098,-0.8483784999999999,-0.11498459999999999
