FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
101,0.502129,0.488201,0.534306,0.52995,0.561163,0.493555,0.46949,0.525992,0.0,0.0,0.566469,0.405482,0.437706,0.401903,0.517005,0.627346,0.472207,0.631739,0.55213,0.65398,0.432829,0.662364,0.556955,0.745231,0.422162,0.745242
102,0.497471,0.491716,0.533431,0.530805,0.560884,0.507393,0.47791,0.531117,0.0,0.0,0.566679,0.415914,0.0,0.0,0.517703,0.632255,0.477004,0.632333,0.547884,0.652671,0.435388,0.65693,0.552046,0.732874,0.421259,0.7357
103,0.493391,0.501933,0.533791,0.535945,0.560579,0.506526,0.47332,0.533972,0.0,0.0,0.564812,0.422297,0.431628,0.419763,0.516046,0.632594,0.473478,0.635008,0.54727,0.654791,0.437859,0.651177,0.554546,0.732871,0.421488,0.737168
104,0.493638,0.507506,0.528161,0.547361,0.566263,0.514563,0.458541,0.542078,0.0,0.0,0.568835,0.42685,0.0,0.0,0.516454,0.645385,0.470787,0.643681,0.554841,0.659157,0.436202,0.652456,0.555003,0.738221,0.424979,0.739442
105,0.489572,0.513502,0.521572,0.560246,0.563393,0.518968,0.454148,0.554855,0.0,0.0,0.568342,0.426499,0.0,0.0,0.510603,0.648917,0.469504,0.651672,0.551882,0.660231,0.0,0.0,0.553155,0.738068,0.42296,0.73859
106,0.487254,0.508679,0.516131,0.557079,0.565373,0.515949,0.468796,0.552169,0.0,0.0,0.569326,0.433671,0.0,0.0,0.515391,0.648496,0.0,0.0,0.552619,0.657553,0.0,0.0,0.55556,0.740956,0.427521,0.744515
107,0.0,0.0,0.512913,0.560819,0.569416,0.531486,0.478548,0.560738,0.0,0.0,0.572398,0.455823,0.0,0.0,0.520901,0.651633,0.0,0.0,0.550131,0.670019,0.0,0.0,0.0,0.0,0.42619,0.747599
108,0.485968,0.51549,0.0,0.0,0.0,0.0,0.445607,0.550599,0.0,0.0,0.570555,0.450243,0.0,0.0,0.513774,0.632807,0.472527,0.634072,0.55456,0.664219,0.0,0.0,0.554929,0.752642,0.428281,0.744042
109,0.492228,0.530491,0.520324,0.571355,0.566206,0.541529,0.453297,0.572065,0.0,0.0,0.567701,0.470116,0.0,0.0,0.506855,0.661334,0.0,0.0,0.545398,0.670392,0.0,0.0,0.0,0.0,0.429959,0.745503
110,0.0,0.0,0.521806,0.575785,0.562464,0.5492,0.456598,0.576493,0.0,0.0,0.0,0.0,0.0,0.0,0.503896,0.662071,0.0,0.0,0.540223,0.665751,0.0,0.0,0.0,0.0,0.433304,0.739894
111,0.493632,0.548216,0.0,0.0,0.562154,0.547554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539614,0.670569,0.0,0.0,0.0,0.0,0.0,0.0
112,0.494816,0.556063,0.527361,0.599471,0.569756,0.551373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.490259,0.556154,0.526206,0.595872,0.571816,0.550951,0.451046,0.592597,0.0,0.0,0.566457,0.494848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.487974,0.55726,0.0,0.0,0.572257,0.550574,0.0,0.0,0.0,0.0,0.56598,0.496858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.491512,0.561889,0.531537,0.613465,0.573092,0.554203,0.447676,0.607691,0.0,0.0,0.56543,0.506214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153002,0.754292,0.0,0.0
116,0.490399,0.56073,0.530471,0.609287,0.573462,0.553917,0.450767,0.608278,0.0,0.0,0.567234,0.508295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.490193,0.558941,0.532951,0.610441,0.574344,0.553685,0.0,0.0,0.0,0.0,0.568408,0.50825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154142,0.752627,0.0,0.0
118,0.490054,0.560678,0.533384,0.616257,0.572161,0.54951,0.0,0.0,0.0,0.0,0.566708,0.496455,0.423273,0.485184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.487306,0.556093,0.0,0.0,0.565614,0.550298,0.0,0.0,0.0,0.0,0.568888,0.495262,0.420408,0.48885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.490056,0.553341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575092,0.484318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148482,0.766076,0.0,0.0
