FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.532801,0.339835,0.566094,0.387551,0.5843,0.440553,0.499159,0.387777,0.48298,0.44796,0.579688,0.500039,0.474131,0.495006,0.554705,0.512816,0.501211,0.510466,0.563652,0.601446,0.500666,0.603906,0.569874,0.712146,0.486316,0.719286
1,0.533233,0.338503,0.56574,0.386193,0.584229,0.440363,0.497976,0.38572,0.482532,0.444787,0.577956,0.506153,0.474719,0.502013,0.554913,0.510462,0.502424,0.508535,0.56513,0.605496,0.492551,0.606272,0.570673,0.715068,0.488682,0.724592
2,0.533199,0.338881,0.567093,0.38772,0.584746,0.441384,0.498702,0.385498,0.481923,0.444869,0.578115,0.505964,0.472715,0.499528,0.555669,0.512201,0.501934,0.510056,0.565731,0.6059,0.492613,0.605663,0.571603,0.713532,0.488471,0.724139
3,0.532914,0.338377,0.568498,0.387509,0.583296,0.443859,0.498591,0.385527,0.482375,0.446649,0.584252,0.518961,0.469715,0.502807,0.555977,0.51166,0.502188,0.509834,0.565473,0.606968,0.492317,0.605591,0.572419,0.710873,0.490296,0.722103
4,0.533189,0.338919,0.568004,0.386663,0.584983,0.441406,0.497826,0.387048,0.481861,0.448716,0.583868,0.512833,0.4703,0.498909,0.555166,0.51162,0.501592,0.509689,0.563989,0.607656,0.501798,0.602761,0.572136,0.715449,0.489093,0.724097
5,0.534541,0.338225,0.568337,0.385275,0.59299,0.433499,0.497313,0.386227,0.475882,0.44257,0.598914,0.47836,0.444922,0.494049,0.551455,0.508366,0.498432,0.50626,0.563073,0.605548,0.499763,0.601492,0.571068,0.714527,0.486583,0.722715
6,0.534191,0.339262,0.569921,0.385303,0.596349,0.430422,0.495628,0.387083,0.472451,0.438434,0.620339,0.478779,0.434543,0.476004,0.550499,0.501601,0.497218,0.500498,0.558911,0.601436,0.501597,0.597324,0.567085,0.711504,0.488947,0.718717
7,0.533687,0.339777,0.569927,0.3855,0.598472,0.428907,0.494023,0.385048,0.471115,0.42995,0.620306,0.460116,0.432696,0.460823,0.552457,0.498417,0.497909,0.499972,0.559946,0.600013,0.501214,0.594902,0.567854,0.710354,0.489,0.717827
8,0.534294,0.341967,0.571455,0.382747,0.603825,0.422632,0.494652,0.383244,0.463689,0.424042,0.625219,0.438958,0.419337,0.453635,0.556836,0.497586,0.499851,0.495854,0.556262,0.596639,0.503977,0.596418,0.567754,0.710139,0.490436,0.715756
9,0.533617,0.344284,0.565412,0.381374,0.605396,0.417981,0.499737,0.384765,0.469496,0.413371,0.637242,0.42135,0.42269,0.431463,0.553346,0.496633,0.499398,0.495856,0.557867,0.597732,0.501741,0.592719,0.56792,0.709984,0.485362,0.71613
10,0.534435,0.344125,0.573526,0.384861,0.627503,0.387391,0.491955,0.387487,0.437255,0.394949,0.662952,0.375173,0.415169,0.390517,0.5569,0.499209,0.500977,0.497162,0.562138,0.605456,0.501798,0.597327,0.567039,0.714365,0.486321,0.717611
11,0.535574,0.344848,0.572732,0.380699,0.624529,0.380947,0.496048,0.386742,0.437363,0.383765,0.659999,0.345127,0.400149,0.350876,0.552183,0.499153,0.496945,0.499136,0.559524,0.607589,0.497218,0.597436,0.566506,0.713737,0.482924,0.717224
