FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.518586,0.36271,0.553688,0.416383,0.0,0.0,0.481215,0.416492,0.459604,0.473284,0.57172,0.540299,0.444823,0.530367,0.530769,0.537863,0.48635,0.535883,0.532386,0.644041,0.482756,0.640211,0.545205,0.744261,0.472316,0.747525
1,0.517857,0.363058,0.553172,0.415857,0.564548,0.469256,0.480911,0.416267,0.45959,0.476176,0.570133,0.540663,0.445991,0.531613,0.53023,0.537259,0.485428,0.535734,0.537559,0.643084,0.48241,0.641076,0.544618,0.743238,0.472524,0.747262
2,0.516226,0.362901,0.551525,0.41469,0.563383,0.467189,0.480279,0.416215,0.457767,0.475045,0.57102,0.53934,0.445472,0.531352,0.527869,0.535345,0.48396,0.534461,0.53438,0.642637,0.480807,0.639452,0.543478,0.74314,0.469884,0.745657
3,0.516052,0.362813,0.552799,0.415287,0.563606,0.466532,0.479128,0.415928,0.456572,0.474348,0.571557,0.538946,0.44505,0.52928,0.529034,0.537017,0.483936,0.536007,0.536048,0.642842,0.481705,0.640263,0.543818,0.742636,0.471842,0.746729
4,0.515443,0.363357,0.552143,0.415007,0.561763,0.467384,0.480122,0.416723,0.458512,0.47633,0.569927,0.538674,0.447074,0.532018,0.528047,0.53657,0.483443,0.535751,0.536183,0.643337,0.480525,0.641259,0.544117,0.743906,0.470278,0.747278
5,0.515433,0.363148,0.552222,0.414892,0.561787,0.4674,0.479866,0.415687,0.458432,0.474889,0.569345,0.540023,0.44448,0.529639,0.528551,0.535651,0.483928,0.534792,0.536276,0.642701,0.481658,0.64031,0.544447,0.743323,0.471064,0.746915
6,0.514868,0.363437,0.55159,0.415353,0.561504,0.468108,0.479561,0.415847,0.458155,0.474922,0.570013,0.53974,0.445221,0.529572,0.528621,0.536302,0.483889,0.535286,0.536392,0.642366,0.481739,0.640055,0.544579,0.74336,0.470958,0.74693
7,0.515397,0.363247,0.55171,0.415315,0.0,0.0,0.479533,0.416022,0.458143,0.47522,0.569965,0.539738,0.444948,0.529139,0.527834,0.536098,0.48342,0.535179,0.535848,0.642177,0.481472,0.640198,0.544066,0.743531,0.470798,0.74712
8,0.515644,0.363548,0.551412,0.415036,0.5615,0.467964,0.479907,0.416416,0.457842,0.475947,0.569663,0.539701,0.445195,0.529981,0.527701,0.536425,0.483311,0.535562,0.535346,0.642375,0.481555,0.640432,0.544084,0.743592,0.470631,0.747017
9,0.515386,0.363322,0.550972,0.414576,0.560952,0.468226,0.479869,0.416029,0.457858,0.476077,0.568716,0.539861,0.445601,0.529696,0.527146,0.535953,0.482952,0.534945,0.534592,0.642232,0.481305,0.639874,0.543758,0.743624,0.469925,0.746653
10,0.515382,0.36336,0.551251,0.414586,0.0,0.0,0.479837,0.416081,0.45787,0.476107,0.568586,0.540736,0.445376,0.529495,0.527148,0.53606,0.482984,0.535109,0.534519,0.642531,0.481189,0.640032,0.543814,0.743622,0.469885,0.746802
11,0.515625,0.363295,0.551151,0.414805,0.0,0.0,0.479936,0.416364,0.4581,0.476151,0.568789,0.540968,0.445737,0.531167,0.527442,0.536476,0.483296,0.535406,0.534769,0.642838,0.481291,0.640327,0.544023,0.743551,0.470189,0.746935
12,0.517586,0.36173,0.552083,0.413139,0.0,0.0,0.482296,0.414473,0.458111,0.473888,0.56867,0.540663,0.444711,0.526587,0.529921,0.538445,0.486303,0.536074,0.536579,0.642809,0.482514,0.639121,0.544014,0.744284,0.472791,0.747437
13,0.517768,0.362079,0.55265,0.413491,0.0,0.0,0.481957,0.414986,0.458948,0.474796,0.569213,0.540744,0.44645,0.527724,0.530073,0.538709,0.486188,0.536313,0.530256,0.645396,0.482575,0.640436,0.543827,0.745402,0.47274,0.747975
14,0.517455,0.361809,0.552066,0.413218,0.0,0.0,0.48137,0.41414,0.457704,0.473692,0.569092,0.541147,0.445044,0.526096,0.529714,0.538282,0.486008,0.53593,0.530021,0.64496,0.482586,0.639924,0.543857,0.745192,0.472739,0.74754
15,0.516883,0.36205,0.551776,0.413185,0.0,0.0,0.481305,0.414366,0.457887,0.473782,0.568561,0.54101,0.444903,0.525939,0.529595,0.538101,0.485963,0.535847,0.52986,0.645066,0.482298,0.639915,0.543759,0.745028,0.472442,0.747337
16,0.515944,0.361863,0.551454,0.412751,0.0,0.0,0.480885,0.41399,0.458512,0.473703,0.567902,0.541637,0.44585,0.526654,0.528903,0.537568,0.485476,0.535464,0.529429,0.645694,0.481997,0.640449,0.543722,0.745097,0.472499,0.747301
17,0.515894,0.3618,0.552278,0.4183,0.0,0.0,0.480278,0.413595,0.457407,0.473191,0.567077,0.542037,0.445907,0.525565,0.528393,0.536516,0.484881,0.534465,0.535862,0.644037,0.482177,0.639998,0.543909,0.744926,0.47258,0.747006
18,0.514337,0.362132,0.551724,0.418339,0.0,0.0,0.479799,0.413832,0.457666,0.4733,0.566635,0.542082,0.446211,0.525447,0.528087,0.536473,0.48482,0.53452,0.535296,0.644277,0.481821,0.640207,0.543713,0.744879,0.472371,0.746912
19,0.514728,0.361984,0.550941,0.412898,0.0,0.0,0.480687,0.414252,0.457958,0.473081,0.568356,0.540807,0.44535,0.522899,0.527646,0.535827,0.484646,0.53388,0.535966,0.643484,0.481795,0.63963,0.543464,0.74504,0.472484,0.747004
20,0.514351,0.362477,0.553214,0.413222,0.0,0.0,0.481702,0.415065,0.457628,0.473216,0.569658,0.535505,0.445763,0.521587,0.529709,0.534521,0.485985,0.532432,0.537683,0.643533,0.483473,0.638282,0.544331,0.744549,0.472978,0.746494
21,0.514379,0.36247,0.551351,0.412057,0.0,0.0,0.482393,0.412302,0.454155,0.468215,0.579868,0.537568,0.424653,0.507668,0.528641,0.527912,0.48373,0.52489,0.538776,0.638674,0.48079,0.636622,0.545107,0.743128,0.471115,0.744934
22,0.511815,0.362558,0.550082,0.416404,0.566282,0.461816,0.482977,0.410401,0.452142,0.462699,0.577706,0.526125,0.419151,0.4999,0.528471,0.525992,0.483935,0.522794,0.537023,0.635524,0.48151,0.632971,0.544869,0.742148,0.470998,0.743903
23,0.509111,0.362378,0.545227,0.41439,0.568331,0.460255,0.480671,0.409577,0.448785,0.460449,0.574591,0.521675,0.420438,0.491002,0.527186,0.524745,0.484912,0.521876,0.535343,0.635744,0.480199,0.633487,0.544642,0.741504,0.469619,0.743673
24,0.510505,0.362302,0.550723,0.418337,0.576018,0.464944,0.481954,0.410656,0.446039,0.460358,0.587267,0.517563,0.413812,0.494858,0.52963,0.526951,0.485228,0.524465,0.535698,0.637303,0.480117,0.637035,0.546419,0.743587,0.471682,0.748035
25,0.509653,0.361286,0.546606,0.409737,0.589034,0.453401,0.484987,0.411781,0.451764,0.453361,0.593125,0.469831,0.404385,0.474447,0.535359,0.523763,0.488565,0.523149,0.539938,0.636388,0.482526,0.637773,0.548381,0.741007,0.473098,0.746541
26,0.505735,0.35968,0.54279,0.409033,0.588108,0.447297,0.485843,0.411883,0.446117,0.44561,0.598975,0.448137,0.402384,0.438253,0.531422,0.529034,0.487048,0.527587,0.535618,0.642426,0.477562,0.643665,0.545667,0.74391,0.4707,0.747315
27,0.510204,0.360493,0.544672,0.409634,0.0,0.0,0.489177,0.414861,0.446261,0.438417,0.620398,0.415419,0.404203,0.416728,0.533915,0.528307,0.490341,0.527807,0.530708,0.648468,0.481379,0.643593,0.545183,0.744741,0.472393,0.747876
28,0.510528,0.358072,0.55075,0.412609,0.605072,0.422303,0.483643,0.412282,0.42673,0.41304,0.623795,0.394862,0.405695,0.402045,0.531921,0.531599,0.488964,0.530767,0.536048,0.651111,0.481403,0.648221,0.543237,0.741783,0.473808,0.749741
29,0.511237,0.357805,0.555933,0.413531,0.605897,0.412276,0.48129,0.4116,0.420218,0.401082,0.629096,0.376528,0.402851,0.380676,0.533286,0.529501,0.490007,0.527069,0.540125,0.648465,0.482636,0.643722,0.54429,0.745408,0.474,0.748662
30,0.512963,0.359687,0.559562,0.411593,0.607703,0.40803,0.479677,0.409488,0.417135,0.389481,0.631505,0.364125,0.384196,0.357813,0.533727,0.527512,0.488627,0.524055,0.538886,0.648324,0.482719,0.643901,0.544673,0.744021,0.474229,0.747704
31,0.510548,0.360863,0.557864,0.408455,0.608406,0.392167,0.480213,0.412125,0.417961,0.386288,0.623793,0.340862,0.386574,0.33704,0.531599,0.527387,0.487904,0.525078,0.536895,0.648557,0.482293,0.645543,0.545196,0.743557,0.474347,0.747752
32,0.506913,0.36145,0.555112,0.404414,0.607991,0.387997,0.47855,0.408064,0.420508,0.384354,0.627203,0.322919,0.392259,0.334919,0.531997,0.527006,0.486739,0.524052,0.537454,0.645888,0.481165,0.642627,0.545288,0.743833,0.472912,0.747253
33,0.50814,0.364536,0.554365,0.401147,0.605147,0.376764,0.478033,0.402852,0.427514,0.364919,0.621432,0.312492,0.393536,0.309912,0.53515,0.526084,0.48826,0.522401,0.537907,0.641962,0.481419,0.638317,0.545709,0.743776,0.471827,0.746244
34,0.506227,0.361321,0.553021,0.39797,0.599789,0.367415,0.479641,0.401593,0.426941,0.359481,0.618622,0.297952,0.395791,0.302462,0.534554,0.525243,0.487344,0.522105,0.538743,0.641507,0.481429,0.63734,0.545557,0.74347,0.471704,0.745536
35,0.509255,0.3628,0.55589,0.399159,0.601107,0.358448,0.476041,0.404265,0.428491,0.3552,0.621361,0.297347,0.401889,0.29542,0.535021,0.522875,0.488486,0.520562,0.538233,0.638995,0.481651,0.636069,0.544999,0.743332,0.471852,0.746145
