FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.517865,0.362379,0.555869,0.416144,0.563406,0.466892,0.485237,0.416774,0.464337,0.471948,0.571548,0.536967,0.445585,0.51897,0.540657,0.536213,0.493771,0.533603,0.541975,0.634302,0.484654,0.635049,0.545984,0.74112,0.478159,0.747948
1,0.518638,0.362215,0.554602,0.416219,0.560768,0.469276,0.484386,0.416763,0.464566,0.472779,0.569981,0.536418,0.447583,0.520516,0.538026,0.535761,0.49298,0.533131,0.540266,0.635723,0.483598,0.637269,0.544011,0.742207,0.477443,0.749666
2,0.517674,0.361895,0.555119,0.417506,0.562174,0.469976,0.484402,0.417286,0.464396,0.472771,0.572633,0.538661,0.445337,0.521817,0.539874,0.539199,0.493578,0.53715,0.536581,0.639968,0.483401,0.635106,0.544721,0.741877,0.476001,0.745678
3,0.519154,0.362159,0.556549,0.416947,0.0,0.0,0.485841,0.417017,0.462248,0.473931,0.574051,0.542014,0.446532,0.524954,0.535039,0.537307,0.490244,0.535828,0.53623,0.640663,0.482273,0.636481,0.541318,0.743877,0.477474,0.750721
4,0.518236,0.362698,0.555931,0.414464,0.560841,0.467318,0.483442,0.418083,0.458602,0.474781,0.575656,0.540528,0.444704,0.525686,0.531301,0.533103,0.485994,0.532082,0.53559,0.638858,0.482007,0.641586,0.541278,0.744089,0.476582,0.748902
5,0.519892,0.363087,0.555602,0.416904,0.563135,0.471035,0.483659,0.416422,0.453467,0.471725,0.582865,0.543772,0.435098,0.520203,0.531108,0.533067,0.48574,0.531321,0.533781,0.639426,0.481579,0.64141,0.540459,0.744177,0.476674,0.750384
6,0.51481,0.364577,0.554534,0.416833,0.584906,0.462799,0.484639,0.41535,0.447082,0.461385,0.595936,0.497908,0.414298,0.491746,0.54179,0.524184,0.49658,0.524746,0.545432,0.630775,0.483904,0.627315,0.551233,0.738286,0.47847,0.744329
7,0.514008,0.365124,0.555397,0.415493,0.589002,0.457542,0.483806,0.413674,0.436619,0.457343,0.601371,0.477254,0.414043,0.493239,0.538439,0.51881,0.494059,0.520909,0.545278,0.629607,0.482593,0.626692,0.549711,0.737417,0.479573,0.743697
8,0.510778,0.363483,0.544999,0.406787,0.57362,0.452646,0.487406,0.411288,0.451553,0.449906,0.0,0.0,0.41118,0.454191,0.540956,0.520872,0.493878,0.51787,0.538293,0.627233,0.486451,0.620997,0.54901,0.738544,0.477397,0.742268
9,0.512297,0.361865,0.548786,0.402863,0.0,0.0,0.485213,0.41092,0.433703,0.422116,0.631545,0.400776,0.411543,0.417952,0.533331,0.517245,0.493576,0.519645,0.542033,0.633465,0.485781,0.628737,0.546873,0.73953,0.479535,0.74282
10,0.517183,0.358694,0.558265,0.412616,0.615551,0.411763,0.481142,0.410574,0.418374,0.401565,0.633708,0.384943,0.3944,0.386608,0.536798,0.526385,0.489654,0.525941,0.540926,0.63831,0.482012,0.6359,0.545274,0.740289,0.480179,0.745787
11,0.517897,0.359778,0.561913,0.411047,0.610249,0.408083,0.485764,0.406612,0.424431,0.394726,0.633771,0.376477,0.399122,0.367806,0.537972,0.522743,0.491495,0.521607,0.539826,0.635149,0.481766,0.631837,0.545524,0.73945,0.479769,0.744511
12,0.519973,0.3602,0.560609,0.415787,0.61003,0.404908,0.482366,0.410293,0.420622,0.386092,0.636574,0.364573,0.39877,0.34801,0.536847,0.527278,0.48844,0.525994,0.542743,0.643634,0.487459,0.641335,0.544184,0.74137,0.478928,0.745504
13,0.51779,0.361281,0.561403,0.411154,0.613082,0.386894,0.48367,0.407419,0.424005,0.38267,0.640691,0.337163,0.393057,0.328379,0.536318,0.527031,0.488346,0.525465,0.542309,0.638197,0.482625,0.636731,0.544326,0.740085,0.481846,0.747918
14,0.516191,0.361018,0.560791,0.404877,0.609682,0.387856,0.480432,0.401694,0.426546,0.378167,0.639511,0.325657,0.397036,0.316931,0.537019,0.52228,0.487144,0.520952,0.540112,0.632655,0.481446,0.631529,0.54431,0.736577,0.482102,0.7455
15,0.518611,0.361606,0.563223,0.403683,0.608549,0.373033,0.478904,0.402325,0.427097,0.364398,0.641174,0.321562,0.396932,0.310676,0.53875,0.525077,0.488882,0.523768,0.540373,0.635468,0.48089,0.634343,0.544266,0.73853,0.481266,0.746258
16,0.516156,0.36296,0.559415,0.39868,0.606914,0.369705,0.478593,0.398742,0.428077,0.349817,0.625927,0.298145,0.403172,0.294924,0.539078,0.520367,0.488055,0.517839,0.540982,0.631741,0.481635,0.628063,0.545115,0.737123,0.480884,0.745184
17,0.514209,0.365201,0.556822,0.394339,0.602024,0.359517,0.478718,0.398734,0.434246,0.347313,0.621298,0.296081,0.414809,0.290232,0.540767,0.517661,0.489454,0.516161,0.545017,0.624105,0.481527,0.623692,0.546185,0.736163,0.478649,0.740828
18,0.519851,0.366124,0.560992,0.392556,0.602718,0.356225,0.484003,0.39799,0.442514,0.349886,0.621793,0.298737,0.418627,0.293937,0.543447,0.516815,0.491637,0.515426,0.54671,0.622194,0.482474,0.622352,0.546918,0.736242,0.479519,0.740645
19,0.518745,0.365624,0.561407,0.393592,0.599257,0.353899,0.484739,0.397354,0.446556,0.348239,0.620025,0.297171,0.414801,0.2878,0.542753,0.520009,0.491871,0.517957,0.541343,0.631967,0.481106,0.630612,0.546228,0.738894,0.480967,0.740362
20,0.519376,0.366021,0.560975,0.391765,0.597747,0.349649,0.486357,0.395189,0.454077,0.349439,0.614256,0.292063,0.413378,0.288084,0.542061,0.518918,0.491504,0.516321,0.544154,0.632624,0.48238,0.630245,0.545832,0.738392,0.481274,0.740487
21,0.519789,0.364594,0.561926,0.388869,0.597695,0.335882,0.487019,0.393181,0.462121,0.338338,0.601284,0.271697,0.439133,0.278246,0.541865,0.514125,0.491451,0.511687,0.545104,0.630692,0.483362,0.623472,0.547848,0.735972,0.478597,0.740072
22,0.522551,0.364202,0.565188,0.388076,0.592067,0.332869,0.490462,0.389473,0.472637,0.327852,0.592621,0.264513,0.45335,0.262457,0.538452,0.512307,0.494642,0.512176,0.541951,0.629708,0.484526,0.627448,0.547684,0.73603,0.47976,0.7394
23,0.519371,0.364578,0.560412,0.388708,0.587403,0.336363,0.487627,0.39218,0.472074,0.328273,0.592961,0.270694,0.45329,0.268494,0.535309,0.514454,0.492909,0.513644,0.53984,0.629972,0.483958,0.627036,0.546704,0.736711,0.480429,0.739738
24,0.520675,0.3615,0.562295,0.38988,0.0,0.0,0.491383,0.396344,0.0,0.0,0.584142,0.263526,0.459397,0.266816,0.539486,0.519407,0.493108,0.518688,0.544997,0.630623,0.486436,0.625197,0.548916,0.737415,0.478882,0.739114
25,0.521925,0.36131,0.563128,0.39146,0.0,0.0,0.495741,0.39542,0.0,0.0,0.584828,0.265043,0.459458,0.275834,0.536937,0.520905,0.496694,0.521338,0.54335,0.630167,0.485326,0.629716,0.54857,0.738018,0.479265,0.741558
26,0.521524,0.359708,0.565173,0.392423,0.0,0.0,0.494766,0.395856,0.0,0.0,0.581027,0.264793,0.459791,0.278876,0.536362,0.519533,0.493204,0.519576,0.536806,0.632191,0.487506,0.631842,0.547262,0.737862,0.479432,0.740652
27,0.520154,0.359346,0.563342,0.390353,0.0,0.0,0.493306,0.394551,0.0,0.0,0.575504,0.264314,0.463605,0.27777,0.538294,0.518933,0.49506,0.519664,0.537555,0.633221,0.48917,0.63442,0.54812,0.738895,0.480427,0.741768
28,0.520287,0.35716,0.561568,0.390772,0.0,0.0,0.493011,0.393442,0.0,0.0,0.5746,0.261361,0.467316,0.273406,0.536394,0.522681,0.496451,0.524455,0.537192,0.635251,0.487145,0.636222,0.54688,0.738889,0.481161,0.742514
29,0.519374,0.357956,0.559619,0.391019,0.0,0.0,0.492987,0.393951,0.0,0.0,0.57466,0.264842,0.465832,0.274824,0.535609,0.523061,0.49666,0.524377,0.537862,0.6346,0.486449,0.635478,0.547075,0.738607,0.480763,0.742121
30,0.519401,0.358766,0.558965,0.392107,0.0,0.0,0.492723,0.394705,0.0,0.0,0.574637,0.264949,0.467171,0.27638,0.534567,0.523647,0.495788,0.524916,0.537594,0.634893,0.485952,0.636345,0.546764,0.738562,0.480334,0.74223
31,0.519339,0.358257,0.558705,0.390052,0.0,0.0,0.492892,0.392686,0.484444,0.325197,0.574723,0.265715,0.465756,0.27757,0.535446,0.521977,0.496665,0.523186,0.537896,0.633129,0.486189,0.63392,0.547526,0.738477,0.480512,0.741737
32,0.51853,0.359161,0.557593,0.391101,0.0,0.0,0.491823,0.393315,0.485439,0.327408,0.573915,0.269076,0.465616,0.280039,0.534476,0.521584,0.496286,0.522845,0.53714,0.63336,0.485893,0.634199,0.547033,0.73828,0.479585,0.741891
33,0.518646,0.359318,0.559223,0.391384,0.0,0.0,0.491911,0.392943,0.484562,0.324736,0.576263,0.269006,0.46493,0.278302,0.535228,0.520178,0.496538,0.5213,0.536436,0.632727,0.486287,0.633229,0.54695,0.73859,0.480082,0.741685
34,0.519272,0.35958,0.56167,0.393237,0.0,0.0,0.491459,0.394428,0.483265,0.322913,0.575292,0.269031,0.46591,0.279862,0.535601,0.521282,0.496343,0.522792,0.535517,0.63343,0.486691,0.634195,0.546917,0.738773,0.480449,0.742295
35,0.519169,0.361282,0.558267,0.39196,0.0,0.0,0.491713,0.394242,0.485833,0.329695,0.578027,0.274114,0.46348,0.278793,0.535123,0.519103,0.496261,0.521469,0.537792,0.63145,0.485994,0.632239,0.547865,0.738161,0.479317,0.741687
36,0.520739,0.361047,0.556465,0.388549,0.0,0.0,0.490383,0.392516,0.0,0.0,0.583756,0.271163,0.467224,0.279852,0.53422,0.51894,0.493015,0.520325,0.53859,0.631388,0.483994,0.62918,0.547382,0.738758,0.476756,0.742992
37,0.5187,0.361363,0.557172,0.387214,0.0,0.0,0.492771,0.389863,0.488063,0.333119,0.58733,0.27376,0.464003,0.279089,0.535038,0.519509,0.494825,0.521698,0.54244,0.631397,0.486142,0.631427,0.549723,0.737507,0.482748,0.748165
38,0.519679,0.360761,0.560614,0.391858,0.0,0.0,0.494447,0.389625,0.4882,0.3352,0.588545,0.273154,0.462973,0.279633,0.53521,0.51893,0.494602,0.521011,0.543611,0.631114,0.485512,0.631229,0.549722,0.737658,0.481468,0.742429
39,0.519238,0.360337,0.56015,0.392292,0.0,0.0,0.494797,0.389656,0.48696,0.334027,0.589285,0.275064,0.462465,0.28021,0.535018,0.519885,0.495312,0.52221,0.545004,0.631949,0.485962,0.632212,0.549275,0.737253,0.481921,0.743106
40,0.518739,0.360182,0.560453,0.391434,0.0,0.0,0.494162,0.389094,0.488351,0.333894,0.589784,0.274053,0.462739,0.280302,0.535458,0.518786,0.495388,0.520959,0.544589,0.631414,0.48624,0.631807,0.549283,0.73739,0.481653,0.742574
41,0.518522,0.360464,0.560126,0.391964,0.0,0.0,0.494067,0.390096,0.489212,0.333304,0.589119,0.274758,0.462748,0.281542,0.533975,0.518989,0.493873,0.520954,0.542253,0.630344,0.48613,0.631391,0.549188,0.738021,0.481149,0.742104
42,0.519174,0.360556,0.560104,0.391271,0.0,0.0,0.494858,0.390059,0.489889,0.332322,0.589072,0.275857,0.462668,0.282473,0.534355,0.516454,0.494814,0.518924,0.542492,0.629083,0.487655,0.62981,0.548994,0.736949,0.481924,0.742165
43,0.51885,0.359418,0.559555,0.389571,0.0,0.0,0.496091,0.390257,0.490298,0.331658,0.589032,0.276217,0.462939,0.282746,0.540185,0.518662,0.493399,0.517282,0.541287,0.627406,0.488512,0.627612,0.549028,0.735529,0.48301,0.739858
44,0.518403,0.359967,0.559024,0.390272,0.0,0.0,0.496624,0.390626,0.490813,0.330713,0.58862,0.274538,0.463114,0.278908,0.539032,0.5201,0.492578,0.51801,0.539735,0.629239,0.486869,0.630117,0.547787,0.737047,0.481592,0.741066
45,0.519234,0.360487,0.560091,0.39082,0.0,0.0,0.496854,0.390467,0.489995,0.328959,0.586159,0.275593,0.463644,0.277754,0.539035,0.519784,0.492532,0.517283,0.538282,0.631014,0.487997,0.631264,0.548571,0.737633,0.482613,0.741511
46,0.520245,0.357848,0.561677,0.388796,0.587923,0.331398,0.498778,0.389058,0.492031,0.325238,0.587763,0.273868,0.464545,0.280118,0.534811,0.517463,0.493977,0.518323,0.540745,0.632692,0.488182,0.635265,0.550579,0.736295,0.482713,0.742073
47,0.521248,0.356949,0.562672,0.389186,0.0,0.0,0.498194,0.388572,0.492945,0.326024,0.584238,0.27159,0.46511,0.280725,0.540143,0.52014,0.492395,0.517293,0.537686,0.6336,0.486521,0.634393,0.549479,0.73723,0.48104,0.741583
48,0.521343,0.358599,0.562595,0.389898,0.0,0.0,0.491716,0.390792,0.0,0.0,0.588795,0.271794,0.467571,0.282282,0.534724,0.520626,0.493948,0.521186,0.540874,0.633906,0.489733,0.636488,0.547996,0.738743,0.479424,0.740618
