FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.513826,0.366664,0.544836,0.408624,0.564904,0.4509,0.47724,0.40882,0.463543,0.447587,0.562277,0.486003,0.462207,0.483609,0.535849,0.50621,0.491751,0.504841,0.530844,0.584503,0.485067,0.583125,0.534776,0.665683,0.481373,0.669793
1,0.513391,0.367764,0.544373,0.409382,0.567052,0.444568,0.479136,0.409404,0.465279,0.447242,0.562175,0.488225,0.461763,0.483044,0.535995,0.506981,0.492481,0.505679,0.528499,0.584938,0.484851,0.583868,0.532976,0.665607,0.482398,0.670061
2,0.513279,0.368152,0.545091,0.409155,0.568015,0.445003,0.478869,0.408983,0.465375,0.446456,0.561899,0.490638,0.461218,0.482983,0.536566,0.506892,0.492499,0.505311,0.529053,0.584297,0.484565,0.583104,0.532978,0.664418,0.48228,0.669189
3,0.514294,0.3691,0.544183,0.409825,0.566359,0.446622,0.479574,0.40923,0.460474,0.443291,0.561777,0.49037,0.461082,0.481744,0.535924,0.506325,0.492507,0.50509,0.529984,0.583006,0.484744,0.581698,0.534039,0.664302,0.481726,0.669005
4,0.513198,0.370122,0.54264,0.409378,0.565289,0.446827,0.479475,0.409102,0.46111,0.442995,0.558889,0.493016,0.461991,0.482794,0.536065,0.506179,0.492791,0.505377,0.529899,0.585452,0.484853,0.583751,0.534363,0.665783,0.482007,0.670208
5,0.51344,0.369923,0.54006,0.407699,0.559966,0.449733,0.479366,0.406849,0.465672,0.442325,0.558799,0.490031,0.461646,0.479841,0.535042,0.503599,0.493696,0.503497,0.52804,0.584548,0.486012,0.582323,0.533841,0.666164,0.482177,0.67031
6,0.513113,0.374813,0.541752,0.409357,0.565782,0.444512,0.479412,0.410078,0.462486,0.446823,0.560452,0.486538,0.464688,0.483416,0.535863,0.503578,0.494319,0.503811,0.529508,0.58527,0.486521,0.583129,0.533694,0.666178,0.483129,0.670527
7,0.513358,0.375462,0.542872,0.410942,0.561586,0.450874,0.480357,0.412204,0.461605,0.448854,0.558477,0.486799,0.46433,0.48302,0.53524,0.504734,0.494396,0.504857,0.528802,0.585313,0.48724,0.583587,0.53329,0.665548,0.483164,0.670531
8,0.51353,0.376003,0.542406,0.411165,0.561938,0.450917,0.480553,0.412164,0.462068,0.44887,0.555486,0.489949,0.464072,0.483654,0.534884,0.505023,0.493591,0.505059,0.530069,0.584574,0.486249,0.583794,0.533667,0.665388,0.483107,0.670557
9,0.512208,0.376079,0.543173,0.411435,0.56523,0.445379,0.480259,0.412654,0.462431,0.449395,0.555483,0.490063,0.462983,0.483844,0.535146,0.505522,0.4934,0.505569,0.529519,0.585188,0.486165,0.584528,0.534014,0.665644,0.483333,0.67094
10,0.512052,0.376363,0.543973,0.412009,0.564521,0.447391,0.480098,0.413142,0.466301,0.449005,0.553957,0.490017,0.463402,0.4857,0.535069,0.506233,0.493123,0.506336,0.528553,0.586005,0.485798,0.585342,0.532964,0.665514,0.482856,0.671475
11,0.512386,0.377361,0.54565,0.413508,0.563197,0.450639,0.478885,0.413844,0.460758,0.443982,0.553882,0.491548,0.465675,0.488508,0.535641,0.50823,0.492468,0.508146,0.528573,0.588058,0.484692,0.587767,0.532732,0.666167,0.482544,0.672069
12,0.513951,0.375718,0.54644,0.412232,0.567819,0.447754,0.479998,0.411596,0.464764,0.447813,0.558777,0.487465,0.459681,0.481427,0.536664,0.506562,0.492833,0.505347,0.527601,0.585638,0.484915,0.584438,0.531389,0.664948,0.481305,0.670847
13,0.5144,0.37528,0.54585,0.412734,0.565825,0.45024,0.480542,0.41159,0.465606,0.449646,0.557804,0.487384,0.460042,0.482259,0.536674,0.507445,0.492905,0.505691,0.527085,0.585632,0.483912,0.584787,0.53075,0.664426,0.480721,0.670201
14,0.513824,0.375317,0.544831,0.412044,0.565757,0.449571,0.480836,0.411303,0.465671,0.448582,0.558,0.484723,0.459042,0.47996,0.536135,0.506294,0.49298,0.504948,0.526769,0.584761,0.483952,0.58439,0.530376,0.66396,0.480549,0.67029
15,0.514457,0.37572,0.544614,0.4122,0.565273,0.449568,0.480932,0.411403,0.465905,0.448711,0.558005,0.483913,0.459816,0.480847,0.536165,0.506058,0.493245,0.504678,0.526956,0.584694,0.483886,0.584487,0.530366,0.664109,0.480378,0.670621
16,0.513897,0.375986,0.544112,0.411609,0.564813,0.449025,0.481072,0.411431,0.466755,0.448534,0.557654,0.482849,0.460373,0.480254,0.536078,0.505346,0.493499,0.504056,0.527025,0.583861,0.483966,0.583751,0.530693,0.663986,0.480719,0.670763
17,0.514737,0.37634,0.54405,0.412157,0.564711,0.449141,0.48108,0.412161,0.460963,0.445272,0.558137,0.482076,0.460776,0.480056,0.536393,0.505455,0.493767,0.504333,0.527178,0.58392,0.484575,0.583803,0.530812,0.663954,0.481367,0.670734
