FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.503949,0.341202,0.536561,0.380609,0.549942,0.310714,0.475383,0.385608,0.466834,0.316832,0.54391,0.235433,0.455711,0.235479,0.543064,0.525253,0.490072,0.525642,0.550864,0.632334,0.483638,0.639796,0.555886,0.736589,0.482403,0.746653
1,0.503672,0.340633,0.535295,0.381412,0.548378,0.312452,0.474608,0.385494,0.468459,0.317871,0.543402,0.23619,0.455965,0.235226,0.542271,0.527809,0.48927,0.528078,0.550947,0.636725,0.484919,0.641693,0.555858,0.739356,0.480759,0.747339
2,0.50355,0.340918,0.534949,0.381854,0.547636,0.312209,0.474935,0.387203,0.467526,0.317722,0.543152,0.236524,0.456689,0.235536,0.542748,0.529103,0.489319,0.52946,0.551404,0.637409,0.484346,0.642828,0.557288,0.739931,0.482764,0.749311
3,0.503079,0.340407,0.534415,0.381227,0.548756,0.313142,0.473899,0.386299,0.468545,0.319252,0.545704,0.238373,0.455558,0.236058,0.541675,0.528297,0.489536,0.528681,0.551121,0.637107,0.485938,0.641847,0.556813,0.738928,0.483353,0.747529
4,0.503573,0.340124,0.535773,0.380882,0.549743,0.312786,0.473564,0.385441,0.469018,0.320121,0.550914,0.237378,0.456303,0.235671,0.542315,0.529653,0.489216,0.530334,0.551697,0.641238,0.485867,0.646733,0.557808,0.741713,0.48167,0.749927
5,0.502661,0.339604,0.534692,0.380124,0.549827,0.310933,0.0,0.0,0.467618,0.318334,0.549642,0.236135,0.455497,0.234676,0.541729,0.528454,0.48882,0.528819,0.550626,0.637955,0.485432,0.643315,0.555915,0.739422,0.480572,0.747657
6,0.502583,0.338765,0.535165,0.379377,0.550951,0.30999,0.0,0.0,0.466766,0.317451,0.544464,0.233499,0.456471,0.233088,0.542096,0.528113,0.488906,0.528501,0.550701,0.637601,0.485844,0.642563,0.556119,0.740094,0.480176,0.747852
7,0.502635,0.338861,0.534766,0.378937,0.551037,0.310349,0.474495,0.389557,0.467191,0.316677,0.543745,0.23393,0.45691,0.233132,0.541491,0.527314,0.488641,0.527432,0.550409,0.63689,0.485241,0.641741,0.556353,0.739437,0.479703,0.747159
8,0.503382,0.340539,0.535263,0.380318,0.551411,0.312448,0.474124,0.385834,0.467116,0.318456,0.548909,0.235724,0.457881,0.235625,0.54107,0.526389,0.489244,0.526475,0.550359,0.635074,0.485337,0.640641,0.556092,0.738735,0.484601,0.743776
9,0.503761,0.34125,0.535529,0.380632,0.551202,0.311502,0.474625,0.386429,0.468761,0.318881,0.543461,0.23422,0.457833,0.235978,0.540892,0.526847,0.489109,0.526821,0.550116,0.63635,0.484927,0.641432,0.555377,0.738902,0.481569,0.750029
