FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.5175,0.363883,0.557969,0.413678,0.0,0.0,0.482297,0.414764,0.472462,0.476009,0.577564,0.536143,0.451824,0.533935,0.533581,0.535273,0.495252,0.536181,0.547281,0.637003,0.481473,0.63791,0.548744,0.74077,0.472183,0.746972
1,0.517757,0.36422,0.55536,0.417212,0.0,0.0,0.488971,0.418899,0.472099,0.477371,0.576658,0.533821,0.450479,0.528621,0.541669,0.537778,0.494867,0.535099,0.544556,0.63617,0.482573,0.63698,0.548364,0.741055,0.470859,0.74581
2,0.518702,0.363388,0.556271,0.414339,0.0,0.0,0.482772,0.415999,0.47041,0.474707,0.578085,0.532699,0.450691,0.528175,0.541757,0.537261,0.495418,0.534964,0.5458,0.635673,0.484354,0.636629,0.548364,0.740276,0.472471,0.74661
3,0.518868,0.363079,0.556342,0.413644,0.0,0.0,0.489099,0.419555,0.471599,0.478079,0.577958,0.532778,0.449428,0.527405,0.540328,0.536156,0.494601,0.534131,0.544174,0.634899,0.482404,0.6354,0.547889,0.74102,0.470478,0.7455
4,0.518392,0.363419,0.556936,0.413897,0.0,0.0,0.488183,0.41943,0.468816,0.473342,0.577526,0.534175,0.449851,0.527634,0.540176,0.536121,0.492947,0.534093,0.543529,0.635419,0.480442,0.635504,0.547813,0.741,0.470035,0.74538
5,0.518372,0.364762,0.556678,0.413319,0.0,0.0,0.488064,0.419427,0.470016,0.477059,0.577653,0.533279,0.448044,0.526609,0.540055,0.535459,0.493006,0.533611,0.543751,0.634752,0.480811,0.634892,0.54835,0.740777,0.470068,0.745515
6,0.518524,0.363707,0.557385,0.413472,0.0,0.0,0.487952,0.419049,0.469321,0.476655,0.577809,0.532602,0.447861,0.524087,0.540477,0.53455,0.493188,0.532427,0.544819,0.633576,0.480454,0.632645,0.549121,0.740613,0.469944,0.74537
7,0.518329,0.363643,0.557111,0.413351,0.0,0.0,0.488285,0.419167,0.470085,0.47662,0.578431,0.532747,0.448764,0.523621,0.541387,0.535221,0.493893,0.532984,0.545274,0.633979,0.480949,0.633707,0.548858,0.740636,0.470474,0.745576
8,0.519681,0.364038,0.558544,0.414312,0.0,0.0,0.488742,0.419286,0.468558,0.473026,0.580111,0.532852,0.450541,0.522751,0.53427,0.533729,0.495773,0.53392,0.548292,0.633725,0.483119,0.634315,0.55014,0.740229,0.471847,0.746468
9,0.518314,0.364026,0.555895,0.413926,0.0,0.0,0.485817,0.420261,0.468913,0.475023,0.576482,0.534498,0.442076,0.523664,0.538905,0.535935,0.491394,0.535044,0.547375,0.633401,0.479305,0.635215,0.548501,0.740573,0.471955,0.746366
