FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.474613,0.283541,0.481303,0.298172,0.474733,0.314663,0.471571,0.301139,0.465394,0.315012,0.0,0.0,0.0,0.0,0.49877,0.356617,0.49414,0.359186,0.0,0.0,0.490126,0.379719,0.0,0.0,0.0,0.0
1,0.474851,0.283327,0.477897,0.29823,0.470455,0.314665,0.474508,0.300281,0.468997,0.313348,0.0,0.0,0.0,0.0,0.496773,0.358213,0.495907,0.360363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.476057,0.294431,0.478557,0.306303,0.0,0.0,0.476399,0.309229,0.497739,0.340626,0.0,0.0,0.0,0.0,0.500232,0.370287,0.49986,0.381186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.475329,0.287608,0.47826,0.302882,0.470444,0.316674,0.477354,0.305208,0.0,0.0,0.0,0.0,0.0,0.0,0.498817,0.366856,0.499671,0.369241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.475308,0.285934,0.473766,0.299709,0.46365,0.316949,0.480957,0.303103,0.0,0.0,0.0,0.0,0.0,0.0,0.497294,0.363627,0.502315,0.366202,0.0,0.0,0.501532,0.383768,0.0,0.0,0.0,0.0
5,0.475201,0.286901,0.47346,0.300745,0.463458,0.316972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497585,0.364948,0.502473,0.367335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.474832,0.285363,0.473447,0.298999,0.463644,0.316266,0.48017,0.302326,0.0,0.0,0.0,0.0,0.0,0.0,0.497512,0.36291,0.501544,0.365461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.476434,0.290168,0.475219,0.304041,0.0,0.0,0.0,0.0,0.503092,0.341567,0.0,0.0,0.495048,0.356645,0.500941,0.369779,0.505612,0.381318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.476731,0.288775,0.476892,0.303423,0.467622,0.320525,0.480291,0.306607,0.0,0.0,0.0,0.0,0.49181,0.356331,0.500646,0.36801,0.502467,0.370848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.478537,0.299889,0.478467,0.312383,0.0,0.0,0.0,0.0,0.496226,0.34436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.478149,0.303229,0.0,0.0,0.0,0.0,0.0,0.0,0.499362,0.34537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.476353,0.295634,0.475475,0.307715,0.466463,0.322336,0.0,0.0,0.499986,0.341592,0.0,0.0,0.492682,0.355606,0.501837,0.381121,0.503877,0.383383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.49405,0.346399,0.0,0.0,0.510616,0.348763,0.506433,0.346638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.498039,0.364357,0.0,0.0,0.506721,0.365523,0.504575,0.359312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488408,0.585645,0.493348,0.588978,0.48739,0.659024,0.0,0.0
14,0.501084,0.347065,0.503737,0.367752,0.50343,0.358639,0.503661,0.370993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488846,0.583646,0.490647,0.585982,0.0,0.0,0.0,0.0
15,0.502388,0.348019,0.503196,0.36753,0.502752,0.359344,0.505319,0.370743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489006,0.582839,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.50259,0.357591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.501933,0.359227,0.505019,0.36653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.504173,0.357389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.507728,0.358318,0.49809,0.368317,0.494908,0.353904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490842,0.582679,0.0,0.0,0.487657,0.670713,0.0,0.0
20,0.0,0.0,0.0,0.0,0.510406,0.358323,0.498544,0.369103,0.495353,0.353816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491999,0.583375,0.0,0.0,0.487695,0.671328,0.0,0.0
21,0.0,0.0,0.509239,0.367524,0.510793,0.359066,0.498771,0.371227,0.496274,0.354256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492139,0.584589,0.489481,0.586997,0.487946,0.67117,0.0,0.0
22,0.0,0.0,0.0,0.0,0.510953,0.356782,0.0,0.0,0.495816,0.350417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.506688,0.349555,0.506365,0.349478,0.503603,0.355472,0.497737,0.350425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
