FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.522873,0.376756,0.556644,0.415822,0.572299,0.454665,0.497593,0.41058,0.485954,0.45458,0.577135,0.479245,0.465441,0.480285,0.540627,0.506258,0.504434,0.506078,0.544938,0.581111,0.50211,0.581353,0.553132,0.667835,0.499321,0.666174
1,0.522882,0.376926,0.557475,0.415461,0.577532,0.453506,0.502779,0.417556,0.488096,0.459173,0.578514,0.481627,0.0,0.0,0.543153,0.507045,0.506378,0.50692,0.544847,0.581244,0.503801,0.582281,0.553731,0.671205,0.49986,0.668474
2,0.522651,0.378989,0.557438,0.416693,0.580265,0.452856,0.505242,0.418768,0.490665,0.456338,0.578567,0.476495,0.468563,0.464559,0.543202,0.504454,0.507322,0.504926,0.544574,0.578169,0.505812,0.587421,0.55359,0.668237,0.500248,0.666529
3,0.522676,0.378367,0.559478,0.416152,0.587443,0.451537,0.505947,0.416473,0.487069,0.451408,0.578976,0.461483,0.461598,0.448086,0.545944,0.503271,0.506962,0.502888,0.545265,0.578059,0.505346,0.578598,0.551845,0.669999,0.503102,0.665107
4,0.523083,0.378375,0.560133,0.41924,0.585994,0.454666,0.505491,0.416315,0.487791,0.450957,0.586543,0.466359,0.470086,0.447112,0.54783,0.505526,0.507819,0.504593,0.545428,0.576954,0.508319,0.585834,0.552067,0.669204,0.502971,0.665502
5,0.524335,0.378268,0.561473,0.420284,0.584467,0.452927,0.503828,0.41624,0.485023,0.445977,0.572166,0.449994,0.479297,0.42779,0.546957,0.506232,0.505386,0.506074,0.54449,0.58039,0.503791,0.582775,0.553253,0.671703,0.499919,0.671047
6,0.524763,0.381618,0.554363,0.416109,0.568237,0.449117,0.503598,0.416048,0.48176,0.432775,0.0,0.0,0.484655,0.394245,0.549251,0.505632,0.507258,0.505484,0.542691,0.585446,0.502105,0.587634,0.550278,0.670469,0.497729,0.669294
7,0.526912,0.379676,0.559375,0.419473,0.570655,0.440399,0.505258,0.41627,0.480531,0.426017,0.526156,0.381705,0.481149,0.391375,0.548225,0.5024,0.50838,0.5033,0.541263,0.582871,0.502577,0.584077,0.549128,0.669738,0.496992,0.667584
8,0.52551,0.377845,0.562791,0.415449,0.571875,0.440322,0.50456,0.410024,0.481917,0.424746,0.52878,0.381433,0.480956,0.378153,0.551979,0.495862,0.510027,0.497563,0.540143,0.578342,0.502179,0.579551,0.548088,0.666381,0.497825,0.665075
9,0.523091,0.374581,0.56008,0.40949,0.570347,0.428091,0.505461,0.406635,0.0,0.0,0.0,0.0,0.47709,0.374522,0.551023,0.490834,0.513156,0.493253,0.541607,0.578744,0.505493,0.579996,0.546691,0.666411,0.499265,0.664345
10,0.514847,0.374592,0.529855,0.39857,0.52169,0.410762,0.523158,0.403861,0.0,0.0,0.0,0.0,0.0,0.0,0.536348,0.484997,0.527011,0.486142,0.528727,0.575523,0.519306,0.578804,0.540123,0.663946,0.509161,0.661938
11,0.518264,0.372443,0.533333,0.396626,0.529536,0.409092,0.526586,0.401183,0.0,0.0,0.0,0.0,0.0,0.0,0.537138,0.482111,0.52882,0.483868,0.527057,0.57695,0.523087,0.583549,0.0,0.0,0.509093,0.662709
12,0.52294,0.35971,0.560125,0.385217,0.534561,0.385811,0.526734,0.385517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.525687,0.37878,0.565619,0.415318,0.0,0.0,0.50124,0.405518,0.481621,0.386543,0.0,0.0,0.481102,0.332756,0.553041,0.505623,0.511266,0.50557,0.541277,0.596035,0.503434,0.595358,0.547791,0.672072,0.497132,0.667524
14,0.523851,0.373674,0.564488,0.402193,0.579281,0.374369,0.502494,0.398121,0.0,0.0,0.565821,0.328297,0.475943,0.319646,0.55222,0.49402,0.511469,0.499284,0.535189,0.586532,0.506663,0.585333,0.541868,0.66827,0.0,0.0
15,0.51971,0.373247,0.55848,0.407222,0.0,0.0,0.499136,0.393778,0.474243,0.374787,0.0,0.0,0.471542,0.325061,0.54996,0.504021,0.50973,0.504771,0.540966,0.592708,0.502747,0.590828,0.546375,0.673006,0.496596,0.66793
16,0.523056,0.372252,0.557222,0.406797,0.0,0.0,0.50212,0.396146,0.474811,0.368601,0.567214,0.334131,0.470321,0.329421,0.553627,0.508142,0.510359,0.508383,0.546413,0.59785,0.504805,0.596059,0.548317,0.673597,0.497692,0.668383
17,0.52149,0.365449,0.560333,0.398775,0.0,0.0,0.4978,0.39272,0.46903,0.363355,0.531802,0.356328,0.465427,0.326749,0.55443,0.499173,0.512565,0.500444,0.542188,0.591094,0.506838,0.590837,0.544026,0.674783,0.0,0.0
