clip,score,good_probability,predicted_label
A113_kinect,1.10249258076701,0.3553,UGLY
A114_kinect,1.14798134081638,0.4455,UGLY
A53_kinect,1.1700370213784,0.2778,UGLY
A54_kinect,1.16319052969542,0.2769,UGLY
A73_kinect,1.13335588485165,0.2022,UGLY
A76_kinect,1.19724749487542,0.4506,UGLY
A77_kinect,1.2324588526679,0.1765,UGLY
B4_kinect,1.26896916793806,0.4971,UGLY
