clip,status,n_frames_input,n_frames_cut,start_frame,stop_frame,cut_path
A136_kinect,ok,71,71,34,104,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A136_kinect.csv
A137_kinect,ok,108,108,70,177,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A137_kinect.csv
A138_kinect,ok,218,218,69,286,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A138_kinect.csv
A139_kinect,ok,132,132,69,200,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A139_kinect.csv
A13_kinect,ok,165,165,14,178,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A13_kinect.csv
A140_kinect,ok,106,106,6,111,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A140_kinect.csv
A141_kinect,too_short_2_frames,123,2,87,88,
A142_kinect,ok,97,97,24,120,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A142_kinect.csv
A143_kinect,ok,97,97,23,119,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A143_kinect.csv
A144_kinect,ok,87,87,46,132,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A144_kinect.csv
A145_kinect,ok,94,94,42,135,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A145_kinect.csv
A146_kinect,ok,90,90,66,155,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A146_kinect.csv
A147_kinect,ok,94,94,30,123,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A147_kinect.csv
A148_kinect,ok,97,97,23,119,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A148_kinect.csv
A149_kinect,ok,114,114,13,126,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A149_kinect.csv
A14_kinect,too_short_2_frames,163,2,3,4,
A150_kinect,ok,120,120,33,152,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A150_kinect.csv
A151_kinect,ok,77,77,79,155,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A151_kinect.csv
A152_kinect,ok,111,111,55,165,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A152_kinect.csv
A153_kinect,too_short_2_frames,74,2,65,66,
A154_kinect,ok,90,90,16,105,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A154_kinect.csv
A155_kinect,ok,117,117,57,173,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A155_kinect.csv
A156_kinect,too_short_2_frames,112,2,102,103,
A157_kinect,ok,85,85,138,222,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A157_kinect.csv
A158_kinect,too_short_3_frames,105,3,69,71,
A159_kinect,ok,76,76,47,122,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A159_kinect.csv
A15_kinect,ok,123,123,12,134,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A15_kinect.csv
A16_kinect,ok,121,121,30,150,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A16_kinect.csv
A17_kinect,ok,122,122,21,142,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A17_kinect.csv
A18_kinect,ok,114,114,54,167,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A18_kinect.csv
A19_kinect,ok,120,120,29,148,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A19_kinect.csv
A20_kinect,ok,104,104,24,127,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A20_kinect.csv
A21_kinect,ok,119,119,24,142,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A21_kinect.csv
A22_kinect,ok,98,98,38,135,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A22_kinect.csv
A23_kinect,ok,86,86,34,119,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A23_kinect.csv
A24_kinect,ok,104,104,45,148,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A24_kinect.csv
A25_kinect,too_short_15_frames,100,15,33,47,
A26_kinect,ok,66,66,28,93,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A26_kinect.csv
A27_kinect,ok,79,79,38,116,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A27_kinect.csv
A28_kinect,ok,80,80,27,106,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A28_kinect.csv
A29_kinect,ok,93,93,34,126,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A29_kinect.csv
A2_kinect,ok,154,154,70,223,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A2_kinect.csv
A30_kinect,ok,90,90,41,130,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A30_kinect.csv
A31_kinect,ok,111,111,27,137,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A31_kinect.csv
A32_kinect,ok,94,94,47,140,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A32_kinect.csv
A33_kinect,ok,111,111,25,135,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A33_kinect.csv
A34_kinect,ok,94,94,40,133,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A34_kinect.csv
A35_kinect,too_short_7_frames,73,7,68,74,
A36_kinect,too_short_13_frames,65,13,74,86,
A37_kinect,ok,88,88,44,131,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A37_kinect.csv
A38_kinect,ok,48,48,40,87,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A38_kinect.csv
A39_kinect,ok,58,58,43,100,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A39_kinect.csv
A3_kinect,ok,128,128,55,182,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A3_kinect.csv
A40_kinect,ok,121,121,17,137,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A40_kinect.csv
A41_kinect,ok,128,128,53,180,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A41_kinect.csv
A42_kinect,ok,123,123,55,177,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A42_kinect.csv
A43_kinect,ok,132,132,25,156,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A43_kinect.csv
A44_kinect,ok,115,68,125,192,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A44_kinect.csv
A45_kinect,too_short_3_frames,149,3,44,46,
A46_kinect,ok,97,97,26,122,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A46_kinect.csv
A47_kinect,ok,116,36,69,104,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A47_kinect.csv
A48_kinect,ok,169,169,0,168,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A48_kinect.csv
A49_kinect,ok,116,116,32,147,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A49_kinect.csv
A4_kinect,ok,164,164,56,219,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A4_kinect.csv
A50_kinect,too_short_5_frames,132,5,164,168,
A51_kinect,ok,141,141,8,148,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A51_kinect.csv
A52_kinect,ok,153,153,21,173,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A52_kinect.csv
A55_kinect,ok,223,223,2,224,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A55_kinect.csv
A56_kinect,ok,161,161,67,227,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A56_kinect.csv
A57_kinect,ok,191,191,64,254,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A57_kinect.csv
A58_kinect,ok,227,227,1,227,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A58_kinect.csv
A59_kinect,too_short_6_frames,213,6,3,8,
A5_kinect,ok,114,114,55,168,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A5_kinect.csv
A61_kinect,ok,112,112,32,143,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A61_kinect.csv
A62_kinect,ok,116,116,55,170,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A62_kinect.csv
A63_kinect,ok,114,114,92,205,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A63_kinect.csv
A64_kinect,ok,122,122,94,215,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A64_kinect.csv
A65_kinect,ok,127,127,8,134,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A65_kinect.csv
A66_kinect,ok,126,126,15,140,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A66_kinect.csv
A67_kinect,ok,121,85,115,199,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A67_kinect.csv
A68_kinect,ok,116,116,48,163,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A68_kinect.csv
A69_kinect,ok,115,115,39,153,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A69_kinect.csv
